week;n_universe;bucket_size;long_mean;short_mean;long_median;short_median;mid_mean;spread_mean;spread_median
2025-10-13;29;5;-9.0835;-12.1992;-7.987;-10.6599;-7.0315;3.1157;2.6729
2025-10-20;30;6;4.7268;-3.6162;4.035;-4.5316;12.8037;8.343;8.5666
2025-10-27;31;6;-10.8987;-10.0599;-8.5222;-10.9574;3.6669;-0.8388;2.4352
2025-11-03;31;6;-5.5978;12.8214;3.1306;14.8024;7.3621;-18.4193;-11.6719
2025-11-10;318;63;-14.8391;-14.227;-18.5865;-16.8388;-16.9061;-0.612;-1.7477
2025-11-17;319;63;-3.5341;0.6003;-1.8946;-4.7123;-3.8736;-4.1344;2.8177
2025-11-24;282;56;-9.6997;-11.6518;-8.67;-11.4288;-7.7561;1.9522;2.7587
2025-12-01;282;56;3.4407;1.5329;0.0;0.6879;3.972;1.9079;-0.6879
2025-12-08;301;60;-10.1694;-10.4034;-9.6488;-12.1291;-9.5651;0.234;2.4803
2025-12-15;301;60;-1.0485;-2.2632;-0.7281;-4.2126;-2.7689;1.2147;3.4844
2025-12-22;301;60;1.1184;4.1478;-0.8266;1.5625;1.5069;-3.0294;-2.389
2025-12-29;278;55;5.5432;17.8392;5.2955;15.6223;15.5448;-12.296;-10.3268
2026-01-05;278;55;-5.904;-3.4704;-9.6409;-4.8711;-6.5666;-2.4335;-4.7698
2026-01-12;325;65;-0.1653;-2.2143;-1.2072;-4.3348;0.3202;2.049;3.1276
2026-01-19;326;65;-5.2774;-0.3854;-6.7722;-3.9069;-3.8142;-4.892;-2.8653
2026-01-26;97;19;-6.9721;-17.705;-10.5773;-19.2273;-15.4837;10.7329;8.65
2026-02-02;97;19;-5.0182;-17.0292;-1.6374;-16.5215;-12.8009;12.0111;14.8841
2026-02-09;97;19;2.9886;10.5721;1.1255;7.5198;5.7855;-7.5835;-6.3943
2026-02-16;97;19;-14.6902;-1.3977;-14.4771;-6.1524;-9.6455;-13.2924;-8.3247
2026-02-23;32;6;3.0054;7.7202;0.5787;7.0424;12.3859;-4.7148;-6.4637
2026-03-02;32;6;-6.1315;3.7594;-6.4314;-0.899;-2.4532;-9.8909;-5.5324
2026-03-09;45;9;12.1982;16.6813;13.0666;14.6529;10.0544;-4.4831;-1.5863
2026-03-16;45;9;-11.5755;-7.3431;-12.7781;-9.4203;-6.2699;-4.2324;-3.3578
2026-03-23;45;9;0.4411;-0.1407;-11.05;-6.5313;-1.9139;0.5818;-4.5187
2026-03-30;45;9;7.3857;2.441;0.4528;-4.0384;4.9158;4.9447;4.4912
2026-04-06;45;9;29.1752;10.0839;11.7616;7.9004;5.4261;19.0914;3.8612
2026-04-13;306;61;6.0753;3.6224;2.6451;4.8853;6.6653;2.4529;-2.2402
2026-04-20;306;61;-1.0909;1.4109;-2.4299;-0.8028;2.8885;-2.5018;-1.6271
2026-04-27;162;32;2.2796;3.5758;0.624;2.5694;8.0074;-1.2963;-1.9453
2026-05-04;162;32;9.0997;14.1611;0.7613;11.4684;11.8077;-5.0613;-10.707
2026-05-11;178;35;-12.476;-10.8691;-14.4349;-12.1283;-12.4172;-1.6069;-2.3066
2026-05-18;178;35;-0.6541;4.8903;-1.8342;0.8164;0.6244;-5.5445;-2.6506
