symbol;first_date;last_date;n_days;span_days;gap_days;trading_now
0GUSDT;2025-09-17;2026-07-31;318;318;0;1
1000000BOBUSDT;2025-06-05;2026-07-31;422;422;0;1
1000000MOGUSDT;2024-11-07;2026-07-31;632;632;0;1
1000BONKUSDT;2023-11-22;2026-07-31;983;983;0;1
1000BTTCUSDT;2022-01-26;2022-04-11;76;76;0;0
1000CATUSDT;2024-10-21;2026-07-31;649;649;0;1
1000CHEEMSUSDT;2024-11-25;2026-07-31;614;614;0;1
1000FLOKIUSDT;2023-05-06;2026-07-31;1183;1183;0;1
1000LUNCUSDT;2022-09-09;2026-07-31;1422;1422;0;1
1000PEPEUSDT;2023-05-05;2026-07-31;1184;1184;0;1
1000RATSUSDT;2023-12-15;2026-07-31;960;960;0;1
1000SATSUSDT;2023-12-12;2026-07-31;963;963;0;1
1000SHIBUSDT;2021-05-10;2026-07-31;1909;1909;0;1
1000WHYUSDT;2024-11-25;2026-07-31;614;614;0;1
1000XECUSDT;2021-09-17;2026-07-31;1779;1779;0;1
1000XUSDT;2024-11-13;2026-07-31;626;626;0;1
1INCHUSDT;2020-12-25;2026-07-31;2045;2045;0;1
1MBABYDOGEUSDT;2024-09-16;2026-07-31;684;684;0;1
2ZUSDT;2025-10-02;2026-07-31;303;303;0;1
42USDT;2025-10-27;2026-07-31;278;278;0;1
4USDT;2025-10-08;2026-07-31;297;297;0;1
A2ZUSDT;2025-07-30;2026-07-31;367;367;0;1
AAOIUSDT;2026-06-08;2026-07-31;54;54;0;1
AAPLUSDT;2026-04-06;2026-07-31;117;117;0;1
AAVEUSDT;2020-10-16;2026-07-31;2115;2115;0;1
ACEUSDT;2023-12-18;2026-07-31;957;957;0;1
ACHUSDT;2023-02-22;2026-07-31;1256;1256;0;1
ACTUSDT;2024-11-11;2026-07-31;628;628;0;1
ACUUSDT;2026-01-21;2026-07-31;192;192;0;1
ACXUSDT;2024-12-06;2026-07-31;603;603;0;1
ADAUSDT;2020-01-31;2026-07-31;2374;2374;0;1
ADBEUSDT;2026-06-11;2026-07-31;51;51;0;1
AERGOUSDT;2024-09-10;2026-06-30;659;659;0;0
AEROUSDT;2024-12-04;2026-07-31;605;605;0;1
