month;n_active;n_dense;n_new;n_gone;cal_days;panel_rows;chg;chg_pct;churn_pct;jump_flag;churn_flag;partial_month
2020-01;11;4;11;0;31;31;;;;0;0;1
2020-02;24;15;13;0;29;29;13.0;118.2;118.2;0;0;0
2020-03;24;24;0;0;31;31;0.0;0.0;0.0;0;0;0
2020-04;24;24;0;0;30;30;0.0;0.0;0.0;0;0;0
2020-05;25;24;1;0;31;31;1.0;4.2;4.2;0;0;0
2020-06;30;25;5;0;30;30;5.0;20.0;20.0;0;0;0
2020-07;37;31;7;0;31;31;7.0;23.3;23.3;0;0;0
2020-08;43;37;6;0;31;31;6.0;16.2;16.2;0;0;0
2020-09;62;51;19;0;30;30;19.0;44.2;44.2;0;0;0
2020-10;71;62;9;0;31;31;9.0;14.5;14.5;0;0;0
2020-11;78;71;7;0;30;30;7.0;9.9;9.9;0;0;0
2020-12;80;77;3;1;31;31;2.0;2.6;5.1;0;0;0
2021-01;86;80;6;0;31;31;6.0;7.5;7.5;0;0;0
2021-02;93;86;7;0;28;28;7.0;8.1;8.1;0;0;0
2021-03;106;94;14;1;31;31;13.0;14.0;16.1;0;0;0
2021-04;111;108;5;0;30;30;5.0;4.7;4.7;0;0;0
2021-05;114;111;3;0;31;31;3.0;2.7;2.7;0;0;0
2021-06;117;114;3;0;30;30;3.0;2.6;2.6;0;0;0
2021-07;118;117;1;0;31;31;1.0;0.9;0.9;0;0;0
2021-08;124;118;6;0;31;31;6.0;5.1;5.1;0;0;0
2021-09;129;124;5;0;30;30;5.0;4.0;4.0;0;0;0
2021-10;133;129;4;0;31;31;4.0;3.1;3.1;0;0;0
2021-11;135;133;2;0;30;30;2.0;1.5;1.5;0;0;0
2021-12;138;134;3;0;31;31;3.0;2.2;2.2;0;0;0
2022-01;139;138;2;1;31;31;1.0;0.7;2.2;0;0;0
2022-02;141;136;3;1;28;28;2.0;1.4;2.9;0;0;0
2022-03;142;139;3;2;31;31;1.0;0.7;3.5;0;0;0
2022-04;147;141;5;0;30;30;5.0;3.5;3.5;0;0;0
2022-05;146;144;1;2;31;31;-1.0;-0.7;2.0;0;0;0
2022-06;143;143;1;4;30;30;-3.0;-2.1;3.4;0;0;0
2022-07;143;143;0;0;31;31;0.0;0.0;0.0;0;0;0
2022-08;145;143;2;0;31;31;2.0;1.4;1.4;0;0;0
2022-09;151;146;6;0;30;30;6.0;4.1;4.1;0;0;0
2022-10;153;151;2;0;31;31;2.0;1.3;1.3;0;0;0
2022-11;154;154;1;0;30;30;1.0;0.7;0.7;0;0;0
2022-12;154;154;0;0;31;31;0.0;0.0;0.0;0;0;0
2023-01;158;154;4;0;31;31;4.0;2.6;2.6;0;0;0
2023-02;172;159;14;0;28;28;14.0;8.9;8.9;0;0;0
2023-03;181;173;9;0;31;31;9.0;5.2;5.2;0;0;0
2023-04;186;183;5;0;30;30;5.0;2.8;2.8;0;0;0
2023-05;193;190;7;0;31;31;7.0;3.8;3.8;0;0;0
2023-06;197;194;4;0;30;30;4.0;2.1;2.1;0;0;0
2023-07;202;198;5;0;31;31;5.0;2.5;2.5;0;0;0
2023-08;208;203;6;0;31;31;6.0;3.0;3.0;0;0;0
2023-09;213;208;5;0;30;30;5.0;2.4;2.4;0;0;0
2023-10;227;213;14;0;31;31;14.0;6.6;6.6;0;0;0
2023-11;246;233;19;0;30;30;19.0;8.4;8.4;0;0;0
2023-12;253;246;7;0;31;31;7.0;2.8;2.8;0;0;0
2024-01;261;253;8;0;31;31;8.0;3.2;3.2;0;0;0
2024-02;270;263;9;0;29;29;9.0;3.4;3.4;0;0;0
2024-03;278;273;8;0;31;31;8.0;3.0;3.0;0;0;0
2024-04;285;280;7;0;30;30;7.0;2.5;2.5;0;0;0
2024-05;288;285;3;0;31;31;3.0;1.1;1.1;0;0;0
