rebalance_date;symbol;side;momentum_7d;liquidity_30d_median;entry_price;exit_price;return;forced_close_flag;forced_reason
2020-02-10;LINKUSDT;LONG;23.7288;13723046.29;3.503;4.45;27.034;0;
2020-02-10;ETHUSDT;LONG;21.2365;118321313.67;228.71;258.87;13.187;0;
2020-02-10;BTCUSDT;SHORT;8.8794;1378167175.29;10167.37;9921.87;-2.4146;0;
2020-02-10;ETCUSDT;SHORT;2.9246;104552245.69;11.719;9.548;-18.5255;0;
2020-02-17;LINKUSDT;LONG;27.1119;19011939.28;4.45;4.239;-4.7416;0;
2020-02-17;ETHUSDT;LONG;13.2217;125039326.21;258.87;274.66;6.0996;0;
2020-02-17;EOSUSDT;SHORT;-12.6693;35690762.31;4.385;4.384;-0.0228;0;
2020-02-17;ETCUSDT;SHORT;-18.4828;99355149.75;9.548;9.751;2.1261;0;
2020-02-24;LTCUSDT;LONG;6.3551;71821860.21;79.62;57.77;-27.4429;0;
2020-02-24;ETHUSDT;LONG;6.1034;237646272.8;274.66;218.01;-20.6255;0;
2020-02-24;TRXUSDT;SHORT;-3.9964;28145494.61;0.02138;0.01645;-23.0589;0;
2020-02-24;LINKUSDT;SHORT;-4.8945;44890557.82;4.239;3.862;-8.8936;0;
2020-03-02;LINKUSDT;LONG;-8.9235;69911386.06;3.862;4.059;5.101;0;
2020-03-02;BTCUSDT;LONG;-14.1332;1513947808.74;8537.84;8038.99;-5.8428;0;
2020-03-02;BNBUSDT;LONG;-17.3518;33379978.35;18.909;16.886;-10.6986;0;
2020-03-02;ADAUSDT;SHORT;-25.8169;19275344.95;0.04564;0.04295;-5.894;0;
2020-03-02;LTCUSDT;SHORT;-27.4667;74600580.33;57.77;51.08;-11.5804;0;
2020-03-02;ATOMUSDT;SHORT;-30.3661;9660987.65;3.344;3.086;-7.7153;0;
2020-03-09;LINKUSDT;LONG;5.21;104515627.74;4.059;2.086;-48.608;0;
2020-03-09;XTZUSDT;LONG;-0.8403;37225484.62;2.596;1.546;-40.4468;0;
2020-03-09;BTCUSDT;LONG;-5.849;1476322539.03;8038.99;5354.81;-33.3895;0;
2020-03-09;ADAUSDT;LONG;-5.8514;18432360.53;0.04295;0.02688;-37.4156;0;
2020-03-09;DASHUSDT;SHORT;-12.7956;8410799.02;73.81;47.19;-36.0656;0;
2020-03-09;VETUSDT;SHORT;-13.2326;2281650.81;0.004707;0.002518;-46.5052;0;
2020-03-09;EOSUSDT;SHORT;-13.3504;61682834.89;3.045;2.047;-32.775;0;
2020-03-09;ETCUSDT;SHORT;-16.897;65869072.13;6.43;5.04;-21.6174;0;
2020-03-16;ETCUSDT;LONG;-21.5918;64011692.81;5.04;4.593;-8.869;0;
2020-03-16;XLMUSDT;LONG;-23.7923;5749758.71;0.03785;0.03675;-2.9062;0;
2020-03-16;XRPUSDT;LONG;-25.1224;59376709.67;0.1529;0.1475;-3.5317;0;
2020-03-16;LTCUSDT;LONG;-28.5742;73456498.48;36.4;35.41;-2.7198;0;
2020-03-16;NEOUSDT;SHORT;-40.639;3099586.21;5.958;5.93;-0.47;0;
2020-03-16;ONTUSDT;SHORT;-42.6541;2820189.89;0.3469;0.3452;-0.4901;0;
2020-03-16;VETUSDT;SHORT;-46.4528;2416116.0;0.002518;0.002597;3.1374;0;
2020-03-16;LINKUSDT;SHORT;-48.608;110005604.03;2.086;1.984;-4.8897;0;
2020-03-23;DASHUSDT;LONG;32.3168;8410799.02;62.4;60.4;-3.2051;0;
2020-03-23;ZECUSDT;LONG;14.7701;7170445.03;29.46;28.17;-4.3788;0;
2020-03-23;BCHUSDT;LONG;13.7154;127201619.21;202.78;205.43;1.3068;0;
2020-03-23;BTCUSDT;LONG;8.4529;1744189810.92;5810.3;5876.27;1.1354;0;
2020-03-23;XTZUSDT;SHORT;-4.5278;48841140.74;1.474;1.468;-0.4071;0;
