;cmom_pct;ours_pct;cmom_n_weeks;ours_n_weeks
2020-01-01;-2.4596;;5.0;
2020-02-01;-4.7654;7.3833;4.0;3.0
2020-03-01;0.3083;-1.5806;4.0;5.0
2020-04-01;-3.39;0.3355;5.0;4.0
2020-05-01;0.2918;0.9307;4.0;4.0
2020-06-01;2.2115;4.5388;4.0;5.0
2020-07-01;1.8987;3.3438;5.0;4.0
2020-08-01;2.2811;2.0397;4.0;5.0
2020-09-01;21.0191;3.4949;5.0;4.0
2020-10-01;1.2365;5.4756;4.0;4.0
2020-11-01;-15.5786;-0.5389;4.0;5.0
2020-12-01;3.8928;11.4267;4.0;4.0
2021-01-01;-5.273;5.037;5.0;4.0
2021-02-01;-1.6401;4.1153;4.0;4.0
2021-03-01;1.8396;10.1577;4.0;5.0
2021-04-01;4.772;7.9923;5.0;4.0
2021-05-01;5.0336;-3.9993;4.0;5.0
2021-06-01;2.8079;-0.6907;4.0;4.0
2021-07-01;-4.3931;-0.1419;5.0;4.0
2021-08-01;-2.8406;-0.4366;4.0;5.0
2021-09-01;-0.9814;3.0392;4.0;4.0
2021-10-01;-1.7311;-2.716;5.0;4.0
2021-11-01;-0.0127;2.3033;4.0;5.0
2021-12-01;-1.7156;-5.1566;4.0;4.0
2022-01-01;-1.5402;0.1714;5.0;5.0
2022-02-01;-0.9531;0.2741;4.0;4.0
2022-03-01;2.3005;1.2526;4.0;4.0
2022-04-01;-1.0695;-0.9265;5.0;4.0
2022-05-01;0.3577;-2.4938;4.0;5.0
2022-06-01;-0.5371;-3.508;4.0;4.0
2022-07-01;-0.0619;1.2048;5.0;4.0
2022-08-01;-0.9226;0.005;4.0;5.0
2022-09-01;-0.4097;0.8673;4.0;4.0
2022-10-01;-0.2803;1.9289;5.0;5.0
2022-11-01;-1.6562;-0.9311;4.0;4.0
2022-12-01;-0.4388;0.0537;4.0;4.0
2023-01-01;12.1039;2.0578;5.0;5.0
2023-02-01;0.1385;-1.4115;4.0;4.0
2023-03-01;-0.374;-3.0144;4.0;4.0
2023-04-01;-0.2645;0.0672;5.0;4.0
2023-05-01;13.2933;-0.0175;4.0;5.0
2023-06-01;-2.9462;0.0117;4.0;4.0
2023-07-01;-2.6465;-1.6353;5.0;5.0
2023-08-01;0.726;0.4324;4.0;4.0
2023-09-01;2.493;0.2128;4.0;4.0
2023-10-01;-0.2625;-0.0975;5.0;5.0
2023-11-01;4.851;-4.7723;4.0;4.0
2023-12-01;2.372;0.227;4.0;4.0
2024-01-01;0.3033;0.351;5.0;5.0
2024-02-01;-0.5731;2.2358;4.0;4.0
2024-03-01;5.3236;-0.4248;4.0;4.0
2024-04-01;-0.4642;-0.3197;5.0;5.0
2024-05-01;-3.8452;1.3691;4.0;4.0
2024-06-01;0.927;0.848;4.0;4.0
2024-07-01;-0.5462;-0.6373;5.0;5.0
2024-08-01;-3.4781;-4.0936;4.0;4.0
2024-09-01;-2.2948;-0.1789;5.0;5.0
2024-10-01;1.4167;0.5296;4.0;4.0
2024-11-01;-5.839;-0.1197;4.0;4.0
2024-12-01;-0.3239;-0.763;4.0;5.0
2025-01-01;4.5694;2.6778;5.0;4.0
2025-02-01;2.0484;0.3009;4.0;4.0
2025-03-01;-0.0053;0.7947;4.0;5.0
2025-04-01;-2.6005;-0.8984;5.0;4.0
2025-05-01;-0.5602;-4.3824;4.0;4.0
2025-06-01;6.5084;2.8252;4.0;5.0
2025-07-01;-5.5045;-0.0012;5.0;4.0
2025-08-01;2.259;1.3988;4.0;4.0
2025-09-01;1.2806;1.198;4.0;5.0
2025-10-01;5.2137;2.3526;5.0;4.0
2025-11-01;-0.2675;3.2486;4.0;4.0
2025-12-01;1.5885;-0.5691;4.0;5.0
2026-01-01;-4.5718;1.2275;5.0;4.0
2026-02-01;-3.2912;0.2279;3.0;4.0
2026-03-01;;0.4171;;5.0
2026-04-01;;-4.8832;;4.0
2026-05-01;;-2.9274;;4.0
2026-06-01;;0.0369;;5.0
2026-07-01;;-1.7902;;4.0
