rebalance_date;liq_group;n_group;n_long;n_short;liq_min;liq_max;liq_median;long_mean;short_mean;spread_mean;spread_median;beyond_panel
2020-09-28;1;11;2;2;2558777.283919;10501919.571600001;6146806.084445;-15.9492;3.0476;-18.9968;-18.9968;0
2020-09-28;2;10;2;2;12162171.33818;16050529.59561;14757801.793150749;-10.0464;-11.9275;1.8811;1.8811;0
2020-09-28;3;10;2;2;16661451.4203;32183284.104365;21123314.92485625;10.4842;-16.291;26.7752;26.7752;0
2020-09-28;4;10;2;2;32294531.767849997;45948468.329705;39772239.232842505;-11.9989;-23.5654;11.5664;11.5664;0
2020-09-28;5;10;2;2;54635678.04534499;1940260217.52742;101590964.7481075;-25.1709;-19.3762;-5.7947;-5.7947;0
2020-10-05;1;11;2;2;1837696.33415;7520266.27355;4836517.266555;-5.2004;4.6472;-9.8476;-9.8476;0
2020-10-05;2;11;2;2;7722560.1621;14878917.686335001;11802245.399025;4.5633;6.5533;-1.9899;-1.9899;0
2020-10-05;3;10;2;2;14887176.733035;21732786.693800002;16252320.096760001;14.6139;-0.3195;14.9334;14.9334;0
2020-10-05;4;11;2;2;25594485.419265002;41515563.34862;30585772.553884998;-1.3951;-10.8307;9.4356;9.4356;0
2020-10-05;5;11;2;2;42014283.505655006;1910818423.30715;96407023.738905;-0.5668;-4.9985;4.4317;4.4317;0
2020-10-12;1;12;2;2;1970427.8542;6480475.772454999;4223802.6803225;-23.9029;-8.9175;-14.9855;-14.9855;0
2020-10-12;2;11;2;2;7130141.53115;13161603.0853;9543390.743069999;-5.6983;-3.7913;-1.907;-1.907;0
2020-10-12;3;11;2;2;13310894.327100001;19861282.177175;14882144.8959;-5.9557;-8.9964;3.0407;3.0407;0
2020-10-12;4;11;2;2;23315709.946005;38275970.121875;30590107.4964;-2.7152;-9.1398;6.4246;6.4246;0
2020-10-12;5;12;2;2;39697169.574585;1758993035.636765;91823026.8795275;2.6335;-7.3897;10.0232;10.0232;0
2020-10-19;1;13;2;2;1254803.8714649999;4984888.78952;3382606.12475;-4.214;-6.5798;2.3658;2.3658;0
2020-10-19;2;12;2;2;5431838.05085;11180391.423500001;7470167.54535;-6.6245;-8.5389;1.9145;1.9145;0
2020-10-19;3;12;2;2;11564255.845150001;20845435.854685;14272017.7321275;11.398;-3.0993;14.4973;14.4973;0
2020-10-19;4;12;2;2;20930893.42284;34191000.88346;24150792.990965;2.9793;-22.5535;25.5327;25.5327;0
2020-10-19;5;13;2;2;36021184.38683;1851306533.0086398;82349975.2774;3.5903;-1.6503;5.2405;5.2405;0
2020-10-26;1;13;2;2;1121565.69828;4770086.130550001;3375639.63863;-9.942;-9.9814;0.0394;0.0394;0
2020-10-26;2;12;2;2;4907864.6547;9104956.519235;7226661.2271;-4.2765;-12.8324;8.5558;8.5558;0
2020-10-26;3;12;2;2;11014865.437380001;17575433.22645;13517401.1154;-13.8629;4.4235;-18.2864;-18.2864;0
2020-10-26;4;12;2;2;17593727.006645;39123663.3222;23788150.892130002;-5.08;-12.0184;6.9384;6.9384;0
2020-10-26;5;12;2;2;42389990.470615;2217865615.579795;79952937.643885;0.0365;-19.6377;19.6742;19.6742;0
2020-11-02;1;13;2;2;1084932.210965;3943266.1595685;3319535.73601;3.5095;20.1033;-16.5938;-16.5938;0
2020-11-02;2;12;2;2;4245625.1522;7560757.35855;5674565.27938;7.5573;2.6115;4.9459;4.9459;0
2020-11-02;3;13;2;2;7846033.337850001;16617001.5766;12155933.0408405;1.3371;39.0889;-37.7519;-37.7519;0
2020-11-02;4;12;2;2;16765630.480055;28790077.50514;18438215.53319;13.3228;15.8021;-2.4793;-2.4793;0
2020-11-02;5;13;2;2;35391721.203150004;2430642573.67182;69217742.3675;6.8306;32.1908;-25.3602;-25.3602;0
2020-11-09;1;14;2;2;1193842.371845;4304699.063449999;3257305.503025;-5.215;3.1688;-8.3838;-8.3838;0
2020-11-09;2;14;2;2;4349526.289091;8539928.17379;5673519.2148275;22.8299;17.4633;5.3666;5.3666;0
2020-11-09;3;13;2;2;10288220.389215;15257352.01963;12362742.586469501;-1.77;-1.2606;-0.5095;-0.5095;0
2020-11-09;4;14;2;2;16617001.5766;28790077.50514;19361722.839614503;8.5255;-1.3992;9.9247;9.9247;0
2020-11-09;5;14;2;2;37154392.5353;3915955101.021805;87378119.990475;11.5703;-6.2377;17.808;17.808;0
2020-11-16;1;14;2;2;1193842.371845;4083917.722275;3055130.1420285003;11.0284;6.5654;4.4629;4.4629;0
2020-11-16;2;14;2;2;4206308.2874954995;8275945.58705;5899778.0292125;38.6924;15.0269;23.6655;23.6655;0
2020-11-16;3;14;2;2;9019869.98408;14753761.8847;12381449.92448225;11.0785;6.6616;4.4169;4.4169;0
