rebalance_date;exit_date;n_universe;n_long;n_short;long_mean;short_mean;long_median;short_median;spread_mean;spread_median
2020-02-10;2020-02-17;10;2;2;20.1105;-10.47;20.1105;-10.47;30.5805;30.5805
2020-02-17;2020-02-24;10;2;2;0.679;1.0516;0.679;1.0516;-0.3726;-0.3726
2020-02-24;2020-03-02;13;2;2;-24.0342;-15.9763;-24.0342;-15.9763;-8.0579;-8.0579
2020-03-02;2020-03-09;18;3;3;-3.8135;-8.3966;-5.8428;-7.7153;4.5831;1.8725
2020-03-09;2020-03-16;22;4;4;-39.965;-34.2408;-38.9312;-34.4203;-5.7242;-4.5109
2020-03-16;2020-03-23;24;4;4;-4.5067;-0.6781;-3.219;-0.48;-3.8286;-2.739
2020-03-23;2020-03-30;24;4;4;-1.2854;1.3401;-1.0349;0.5106;-2.6256;-1.5455
2020-03-30;2020-04-06;23;4;4;12.9155;13.2231;11.0554;13.4685;-0.3075;-2.4131
2020-04-06;2020-04-13;21;4;4;5.0471;5.2381;2.6002;5.5584;-0.191;-2.9582
2020-04-13;2020-04-20;21;4;4;5.7449;2.6758;5.6932;2.5495;3.0691;3.1437
2020-04-20;2020-04-27;22;4;4;7.8162;10.7551;5.8541;6.1274;-2.9389;-0.2734
2020-04-27;2020-05-04;23;4;4;5.5484;4.1455;2.7251;2.4322;1.4028;0.2929
2020-05-04;2020-05-11;24;4;4;-9.8172;-7.32;-11.5431;-7.2786;-2.4972;-4.2644
2020-05-11;2020-05-18;24;4;4;4.5361;6.4749;4.5417;7.2183;-1.9388;-2.6766
2020-05-18;2020-05-25;24;4;4;-5.7408;-1.6262;-5.267;-1.2612;-4.1145;-4.0058
2020-05-25;2020-06-01;24;4;4;20.5386;8.2652;18.2274;7.7831;12.2734;10.4443
2020-06-01;2020-06-08;24;4;4;11.8123;1.0076;12.8489;1.2903;10.8047;11.5586
2020-06-08;2020-06-15;24;4;4;-3.4098;-5.2832;-10.7126;-5.7113;1.8735;-5.0013
2020-06-15;2020-06-22;24;4;4;0.9069;-0.7191;-0.7254;-1.032;1.6261;0.3066
2020-06-22;2020-06-29;25;5;5;3.1795;-3.1326;2.4658;-3.6791;6.3121;6.145
2020-06-29;2020-07-06;25;5;5;4.343;2.2656;3.3799;1.7322;2.0774;1.6477
2020-07-06;2020-07-13;26;5;5;18.6714;17.6309;26.9936;14.8329;1.0405;12.1607
2020-07-13;2020-07-20;28;5;5;8.7978;-0.7699;4.878;-0.9679;9.5677;5.8459
2020-07-20;2020-07-27;30;6;6;-6.1168;3.5981;-6.5394;2.3275;-9.7149;-8.8669
2020-07-27;2020-08-03;31;6;6;11.5464;-0.9356;13.5066;-2.9126;12.482;16.4192
2020-08-03;2020-08-10;32;6;6;5.7405;26.5088;5.149;30.5461;-20.7682;-25.3971
2020-08-10;2020-08-17;33;6;6;23.8844;10.5278;27.3955;7.7297;13.3565;19.6657
2020-08-17;2020-08-24;35;7;7;14.5929;-4.7971;-2.2821;-3.8483;19.39;1.5662
2020-08-24;2020-08-31;37;7;7;-6.7706;5.9246;-11.7093;4.3597;-12.6951;-16.069
2020-08-31;2020-09-07;37;7;7;-16.742;-27.6573;-21.2216;-27.7943;10.9153;6.5727
2020-09-07;2020-09-14;40;8;8;7.7292;5.4914;0.7769;8.9604;2.2378;-8.1835
2020-09-14;2020-09-21;41;8;8;-8.5848;-12.8662;-12.4622;-12.1838;4.2814;-0.2783
2020-09-21;2020-09-28;45;9;9;2.1331;0.2617;-1.2571;0.1772;1.8714;-1.4343
2020-09-28;2020-10-05;51;10;10;-8.7093;-14.2982;-9.2033;-11.8396;5.5889;2.6363
2020-10-05;2020-10-12;54;10;10;3.9049;-1.6251;1.6431;-3.9616;5.5299;5.6047
2020-10-12;2020-10-19;57;11;11;-6.8136;-6.4955;-5.1193;-6.2572;-0.3181;1.1378
2020-10-19;2020-10-26;62;12;12;2.7963;-7.1615;5.8891;-6.9929;9.9578;12.8821
2020-10-26;2020-11-02;61;12;12;-5.9903;-12.7229;-4.0056;-14.8447;6.7326;10.8391
2020-11-02;2020-11-09;63;12;12;6.4586;23.14;5.3078;20.1033;-16.6814;-14.7955
2020-11-09;2020-11-16;69;13;13;9.5117;-0.0981;6.5959;-2.2705;9.6098;8.8664
2020-11-16;2020-11-23;70;14;14;19.6451;16.287;8.1812;10.4803;3.3581;-2.2991
2020-11-23;2020-11-30;71;14;14;0.691;-3.1299;-8.8413;-2.8479;3.8209;-5.9934
2020-11-30;2020-12-07;71;14;14;4.6795;7.4816;-0.1129;6.4433;-2.8021;-6.5562
2020-12-07;2020-12-14;72;14;14;-1.491;-4.8388;-5.8812;-4.0506;3.3477;-1.8306
2020-12-14;2020-12-21;77;15;15;8.2057;3.1926;4.437;3.0743;5.0131;1.3627
2020-12-21;2020-12-28;77;15;15;9.0217;-13.391;-1.8882;-12.8105;22.4127;10.9223
2020-12-28;2021-01-04;78;15;15;27.7579;12.8248;22.6277;12.1805;14.9332;10.4472
2021-01-04;2021-01-11;78;15;15;16.4018;37.2537;8.3692;33.379;-20.8519;-25.0097
2021-01-11;2021-01-18;79;15;15;20.9592;20.0565;10.9767;8.178;0.9027;2.7987
2021-01-18;2021-01-25;80;16;16;10.6206;-1.229;6.0132;-1.2964;11.8496;7.3096
2021-01-25;2021-02-01;80;16;16;28.081;-0.1664;12.3441;-3.0168;28.2475;15.3609
2021-02-01;2021-02-08;80;16;16;34.0221;23.647;15.7346;18.0551;10.3751;-2.3205
2021-02-08;2021-02-15;81;16;16;35.6196;42.8074;30.8811;43.331;-7.1878;-12.4499
2021-02-15;2021-02-22;85;17;17;13.4608;8.4937;3.5498;2.9997;4.9671;0.55
2021-02-22;2021-03-01;86;17;17;-12.4978;-20.8046;-22.9095;-21.8853;8.3067;-1.0243
