rebalance_date;n_long;n_short;long_mean;short_mean;spread_gross;costs_long;costs_short;spread_net;funding_long_pct;funding_short_pct;spread_net_with_funding;funding_coverage_pct
2020-02-10;2;2;20.1105;-10.47;30.5806;0.2;0.2;30.1806;;;;0.0
2020-02-17;2;2;0.679;1.0516;-0.3727;0.2;0.2;-0.7727;;;;0.0
2020-02-24;2;2;-24.0342;-15.9762;-8.0579;0.2;0.2;-8.4579;;;;0.0
2020-03-02;3;3;-3.8135;-8.3966;4.5831;0.2;0.2;4.1831;;;;0.0
2020-03-09;4;4;-39.965;-34.2408;-5.7242;0.2;0.2;-6.1242;;;;0.0
2020-03-16;4;4;-4.5067;-0.6781;-3.8286;0.2;0.2;-4.2286;;;;0.0
2020-03-23;4;4;-1.2854;1.3402;-2.6256;0.2;0.2;-3.0256;;;;0.0
2020-03-30;4;4;12.9156;13.223;-0.3075;0.2;0.2;-0.7075;;;;0.0
2020-04-06;4;4;5.0471;5.238;-0.191;0.2;0.2;-0.591;;;;0.0
2020-04-13;4;4;5.7449;2.6758;3.0691;0.2;0.2;2.6691;;;;0.0
2020-04-20;4;4;7.8162;10.755;-2.9389;0.2;0.2;-3.3389;;;;0.0
2020-04-27;4;4;5.5484;4.1456;1.4028;0.2;0.2;1.0028;;;;0.0
2020-05-04;4;4;-9.8172;-7.32;-2.4972;0.2;0.2;-2.8972;;;;0.0
2020-05-11;4;4;4.5361;6.4748;-1.9388;0.2;0.2;-2.3388;;;;0.0
2020-05-18;4;4;-5.7408;-1.6262;-4.1145;0.2;0.2;-4.5145;;;;0.0
2020-05-25;4;4;20.5386;8.2652;12.2734;0.2;0.2;11.8734;;;;0.0
2020-06-01;4;4;11.8123;1.0076;10.8046;0.2;0.2;10.4047;;;;0.0
2020-06-08;4;4;-3.4098;-5.2832;1.8735;0.2;0.2;1.4735;;;;0.0
2020-06-15;4;4;0.907;-0.7192;1.6261;0.2;0.2;1.2261;;;;0.0
2020-06-22;5;5;3.1795;-3.1326;6.3121;0.2;0.2;5.9121;;;;0.0
2020-06-29;5;5;4.343;2.2656;2.0774;0.2;0.2;1.6774;;;;0.0
2020-07-06;5;5;18.6714;17.6309;1.0405;0.2;0.2;0.6405;;;;0.0
2020-07-13;5;5;8.7978;-0.77;9.5678;0.2;0.2;9.1678;;;;0.0
2020-07-20;6;6;-6.1168;3.5981;-9.7149;0.2;0.2;-10.1149;;;;0.0
2020-07-27;6;6;11.5464;-0.9356;12.482;0.2;0.2;12.082;;;;0.0
2020-08-03;6;6;5.7405;26.5088;-20.7682;0.2;0.2;-21.1682;;;;0.0
2020-08-10;6;6;23.8844;10.5278;13.3566;0.2;0.2;12.9566;;;;0.0
2020-08-17;7;7;14.5929;-4.7972;19.39;0.2;0.2;18.99;;;;0.0
2020-08-24;7;7;-6.7706;5.9246;-12.6951;0.2;0.2;-13.0951;;;;0.0
2020-08-31;7;7;-16.742;-27.6573;10.9153;0.2;0.2;10.5153;;;;0.0
2020-09-07;8;8;7.7292;5.4914;2.2379;0.2;0.2;1.8379;;;;0.0
2020-09-14;8;8;-8.5848;-12.8662;4.2814;0.2;0.2;3.8814;;;;0.0
2020-09-21;9;9;2.1331;0.2617;1.8714;0.2;0.2;1.4714;;;;0.0
2020-09-28;10;10;-8.7093;-14.2982;5.5889;0.2;0.2;5.1889;;;;0.0
2020-10-05;10;10;3.9049;-1.6251;5.5299;0.2;0.2;5.1299;;;;0.0
2020-10-12;11;11;-6.8136;-6.4955;-0.3181;0.2;0.2;-0.7181;;;;0.0
2020-10-19;12;12;2.7963;-7.1615;9.9578;0.2;0.2;9.5578;;;;0.0
2020-10-26;12;12;-5.9903;-12.7229;6.7326;0.2;0.2;6.3326;;;;0.0
2020-11-02;12;12;6.4585;23.14;-16.6814;0.2;0.2;-17.0814;;;;0.0
2020-11-09;13;13;9.5117;-0.0981;9.6098;0.2;0.2;9.2098;;;;0.0
2020-11-16;14;14;19.6451;16.287;3.3581;0.2;0.2;2.9581;;;;0.0
2020-11-23;14;14;0.691;-3.1299;3.8209;0.2;0.2;3.4209;;;;0.0
2020-11-30;14;14;4.6795;7.4816;-2.8021;0.2;0.2;-3.2021;;;;0.0
2020-12-07;14;14;-1.491;-4.8388;3.3477;0.2;0.2;2.9477;;;;0.0
2020-12-14;15;15;8.2057;3.1926;5.0131;0.2;0.2;4.6131;;;;0.0
2020-12-21;15;15;9.0217;-13.391;22.4127;0.2;0.2;22.0127;;;;0.0
2020-12-28;15;15;27.7579;12.8248;14.9331;0.2;0.2;14.5331;;;;0.0
2021-01-04;15;15;16.4018;37.2537;-20.8519;0.2;0.2;-21.2519;;;;0.0
2021-01-11;15;15;20.9592;20.0565;0.9027;0.2;0.2;0.5027;;;;0.0
2021-01-18;16;16;10.6206;-1.229;11.8496;0.2;0.2;11.4496;;;;0.0
2021-01-25;16;16;28.081;-0.1664;28.2475;0.2;0.2;27.8475;;;;0.0
2021-02-01;16;16;34.0221;23.647;10.3751;0.2;0.2;9.9751;;;;0.0
2021-02-08;16;16;35.6196;42.8074;-7.1878;0.2;0.2;-7.5878;;;;0.0
2021-02-15;17;17;13.4608;8.4937;4.9671;0.2;0.2;4.5671;;;;0.0
2021-02-22;17;17;-12.4978;-20.8046;8.3067;0.2;0.2;7.9067;;;;0.0
2021-03-01;17;17;29.7971;26.4233;3.3739;0.2;0.2;2.9739;;;;0.0
2021-03-08;17;17;61.4361;13.2973;48.1388;0.2;0.2;47.7388;;;;0.0
2021-03-15;18;18;8.0116;7.2161;0.7956;0.2;0.2;0.3956;;;;0.0
2021-03-22;18;18;5.2174;1.0639;4.1535;0.2;0.2;3.7535;;;;0.0
2021-03-29;18;18;9.8667;15.5402;-5.6735;0.2;0.2;-6.0735;;;;0.0
2021-04-05;19;19;10.2051;0.3223;9.8828;0.2;0.2;9.4828;;;;0.0
2021-04-12;20;20;23.2183;-4.551;27.7693;0.2;0.2;27.3693;;;;0.0
2021-04-19;20;20;-21.3119;-21.126;-0.1858;0.2;0.2;-0.5858;;;;0.0
2021-04-26;21;21;32.0343;37.5315;-5.4972;0.2;0.2;-5.8972;;;;0.0
2021-05-03;21;21;18.5383;9.013;9.5252;0.2;0.2;9.1252;;;;0.0
2021-05-10;21;21;-14.6665;-15.5504;0.8839;0.2;0.2;0.4839;;;;0.0
2021-05-17;22;22;-51.0992;-49.8273;-1.2719;0.2;0.2;-1.6719;;;;0.0
2021-05-24;22;22;11.2552;28.4763;-17.2211;0.2;0.2;-17.6211;;;;0.0
2021-05-31;22;22;-2.9409;8.9717;-11.9126;0.2;0.2;-12.3126;;;;0.0
2021-06-07;22;22;-11.9465;-12.7246;0.7781;0.2;0.2;0.3781;;;;0.0
2021-06-14;22;22;-8.0527;-4.5678;-3.4849;0.2;0.2;-3.8849;;;;0.0
2021-06-21;22;22;-17.4804;-17.7952;0.3148;0.2;0.2;-0.0852;;;;0.0
2021-06-28;22;22;15.1431;15.5139;-0.3708;0.2;0.2;-0.7708;;;;0.0
2021-07-05;22;22;13.4733;-1.1047;14.578;0.2;0.2;14.178;;;;0.0
2021-07-12;23;23;-12.4203;-10.9292;-1.4911;0.2;0.2;-1.8911;;;;0.0
2021-07-19;23;23;16.7868;14.4372;2.3496;0.2;0.2;1.9496;;;;0.0
2021-07-26;23;23;2.904;18.9082;-16.0042;0.2;0.2;-16.4042;;;;0.0
2021-08-02;23;23;8.5906;10.5216;-1.931;0.2;0.2;-2.331;;;;0.0
2021-08-09;23;23;30.8118;24.8591;5.9527;0.2;0.2;5.5527;;;;0.0
2021-08-16;23;23;8.5859;4.6177;3.9682;0.2;0.2;3.5682;;;;0.0
2021-08-23;23;23;1.6605;-1.7332;3.3937;0.2;0.2;2.9937;;;;0.0
2021-08-30;23;23;8.1822;21.7486;-13.5664;0.2;0.2;-13.9664;;;;0.0
2021-09-06;23;23;0.6977;-12.383;13.0808;0.2;0.2;12.6808;;;;0.0
2021-09-13;24;24;-3.4523;-3.1944;-0.258;0.2;0.2;-0.658;;;;0.0
2021-09-20;24;24;-9.3845;-12.8775;3.493;0.2;0.2;3.093;;;;0.0
2021-09-27;24;24;16.2615;20.4203;-4.1588;0.2;0.2;-4.5588;;;;0.0
2021-10-04;24;24;-6.714;-0.3897;-6.3242;0.2;0.2;-6.7242;;;;0.0
2021-10-11;25;25;-1.3483;3.4925;-4.8408;0.2;0.2;-5.2408;;;;0.0
2021-10-18;25;25;-0.4667;1.8971;-2.3638;0.2;0.2;-2.7638;;;;0.0
2021-10-25;25;25;10.0965;7.4319;2.6646;0.2;0.2;2.2646;;;;0.0
2021-11-01;25;25;15.4085;5.5568;9.8517;0.2;0.2;9.4517;;;;0.0
2021-11-08;26;26;7.1303;0.1844;6.9459;0.2;0.2;6.5459;;;;0.0
2021-11-15;26;26;-9.2446;-4.9574;-4.2873;0.2;0.2;-4.6873;;;;0.0
2021-11-22;26;26;6.0983;3.1291;2.9692;0.2;0.2;2.5691;;;;0.0
2021-11-29;26;26;-27.3029;-23.3397;-3.9632;0.2;0.2;-4.3632;;;;0.0
2021-12-06;26;26;1.4778;0.0837;1.3941;0.2;0.2;0.9941;;;;0.0
2021-12-13;26;26;-8.828;-1.9701;-6.8579;0.2;0.2;-7.2579;;;;0.0
2021-12-20;26;26;13.7283;24.9789;-11.2506;0.2;0.2;-11.6506;;;;0.0
2021-12-27;26;26;-5.0327;-1.1206;-3.9121;0.2;0.2;-4.3121;;;;0.0
2022-01-03;26;26;-11.7281;-18.7392;7.0111;0.2;0.2;6.6111;;;;0.0
2022-01-10;26;26;5.6922;4.6341;1.0581;0.2;0.2;0.6581;;;;0.0
2022-01-17;27;27;-30.4738;-32.0455;1.5717;0.2;0.2;1.1717;;;;0.0
2022-01-24;27;27;-0.2465;6.1365;-6.383;0.2;0.2;-6.783;;;;0.0
2022-01-31;27;27;13.9529;16.3536;-2.4008;0.2;0.2;-2.8008;;;;0.0
2022-02-07;27;27;-10.1676;-10.0843;-0.0833;0.2;0.2;-0.4833;;;;0.0
2022-02-14;27;27;-8.662;-10.1877;1.5258;0.2;0.2;1.1258;;;;0.0
2022-02-21;27;27;-2.1569;-2.8468;0.6899;0.2;0.2;0.2899;;;;0.0
2022-02-28;17;17;-1.7556;-0.7198;-1.0358;0.2;0.2;-1.4358;;;;0.0
2022-03-07;17;17;-1.7144;-3.2179;1.5035;0.2;0.2;1.1035;;;;0.0
2022-03-14;27;27;20.7312;13.123;7.6082;0.2;0.2;7.2082;;;;0.0
2022-03-21;27;27;12.5016;17.7709;-5.2693;0.2;0.2;-5.6693;;;;0.0
2022-03-28;27;27;14.0507;12.8828;1.1679;0.2;0.2;0.7679;;;;0.0
2022-04-04;27;27;-25.874;-15.1317;-10.7423;0.2;0.2;-11.1423;;;;0.0
2022-04-11;27;28;-6.4463;-8.1359;1.6896;0.2;0.2;1.2896;;;;0.0
2022-04-18;27;27;2.092;1.3466;0.7454;0.2;0.2;0.3454;;;;0.0
2022-04-25;27;27;-11.0141;-15.6153;4.6012;0.2;0.2;4.2012;;;;0.0
2022-05-02;28;28;-12.8119;-8.3357;-4.4762;0.2;0.2;-4.8762;;;;0.0
2022-05-09;28;28;-29.971;-28.1169;-1.8541;0.2;0.2;-2.2541;;;;0.0
2022-05-16;28;28;-5.586;5.6415;-11.2275;0.2;0.2;-11.6275;;;;0.0
2022-05-23;28;28;-1.0611;-11.1504;10.0893;0.2;0.2;9.6893;;;;0.0
2022-05-30;28;28;-1.3537;3.6469;-5.0006;0.2;0.2;-5.4006;;;;0.0
2022-06-06;28;28;-17.5298;-13.1021;-4.4277;0.2;0.2;-4.8277;;;;0.0
2022-06-13;28;28;-5.3154;-4.374;-0.9414;0.2;0.2;-1.3414;;;;0.0
2022-06-20;28;28;10.4426;12.043;-1.6004;0.2;0.2;-2.0004;;;;0.0
2022-06-27;28;28;-11.4474;-4.3851;-7.0624;0.2;0.2;-7.4624;;;;0.0
2022-07-04;27;27;6.5302;8.6656;-2.1354;0.2;0.2;-2.5354;;;;0.0
2022-07-11;27;27;4.8356;0.6252;4.2104;0.2;0.2;3.8104;;;;0.0
