entry_date;exit_date;n_universe;n_long;n_short;long_mean;short_mean;long_median;short_median;spread_gross;spread_gross_median;spread_gross_x;costs_long;costs_short;spread_net;funding_long_pct;funding_short_pct;spread_net_with_funding;funding_coverage_pct
2020-02-17;2020-03-02;10;2;2;-14.4987;-19.4109;-14.4987;-19.4109;4.9122;4.9122;4.9122;0.2;0.2;4.5122;;;;0.0
2020-03-02;2020-03-16;18;3;3;-42.1498;-40.024;-43.1815;-41.1043;-2.1258;-2.0772;-2.1258;0.2;0.2;-2.5258;;;;0.0
2020-03-16;2020-03-30;24;4;4;0.812;5.2954;0.7238;5.8009;-4.4835;-5.0771;-4.4835;0.2;0.2;-4.8835;;;;0.0
2020-03-30;2020-04-13;23;4;4;21.8106;34.0161;22.3566;27.7639;-12.2055;-5.4072;-12.2055;0.2;0.2;-12.6055;;;;0.0
2020-04-13;2020-04-27;21;4;4;23.8725;10.5427;24.169;9.6823;13.3297;14.4867;13.3298;0.2;0.2;12.9298;;;;0.0
2020-04-27;2020-05-11;23;4;4;-1.3774;-2.4637;-0.7659;-2.6023;1.0863;1.8364;1.0863;0.2;0.2;0.6863;;;;0.0
2020-05-11;2020-05-25;24;4;4;0.1898;2.6854;-0.5717;0.601;-2.4956;-1.1727;-2.4956;0.2;0.2;-2.8956;;;;0.0
2020-05-25;2020-06-08;24;4;4;34.5428;15.8219;26.4346;17.6106;18.7208;8.824;18.7208;0.2;0.2;18.3208;;;;0.0
2020-06-08;2020-06-22;24;4;4;3.0331;-9.445;3.0056;-9.495;12.4781;12.5006;12.4781;0.2;0.2;12.0781;;;;0.0
2020-06-22;2020-07-06;25;5;5;17.0701;2.6893;5.0402;-1.8683;14.3808;6.9085;14.3808;0.2;0.2;13.9808;;;;0.0
2020-07-06;2020-07-20;26;5;5;30.8611;27.7296;26.4022;13.009;3.1315;13.3932;3.1315;0.2;0.2;2.7315;;;;0.0
2020-07-20;2020-08-03;30;6;6;-4.094;0.4328;-0.3521;-4.9837;-4.5268;4.6316;-4.5268;0.2;0.2;-4.9268;;;;0.0
2020-08-03;2020-08-17;32;6;6;8.6613;47.7096;7.9456;33.3403;-39.0483;-25.3947;-39.0483;0.2;0.2;-39.4483;;;;0.0
2020-08-17;2020-08-31;35;7;7;9.1104;-5.5027;-12.4529;-6.678;14.6132;-5.7749;14.6132;0.2;0.2;14.2132;;;;0.0
2020-08-31;2020-09-14;37;7;7;-16.3893;-23.4979;-23.7536;-22.5007;7.1086;-1.2529;7.1086;0.2;0.2;6.7086;;;;0.0
2020-09-14;2020-09-28;41;8;8;-4.2821;-14.9221;-14.425;-16.7223;10.64;2.2974;10.6399;0.2;0.2;10.2399;;;;0.0
2020-09-28;2020-10-12;51;10;10;3.8888;-16.5782;4.5243;-16.6176;20.467;21.1419;20.467;0.2;0.2;20.067;;;;0.0
2020-10-12;2020-10-26;57;11;11;-9.7954;-17.3843;-8.2686;-17.4194;7.5889;9.1508;7.5889;0.2;0.2;7.1889;;;;0.0
2020-10-26;2020-11-09;61;12;12;-0.0767;-0.5719;-0.8382;-2.3927;0.4952;1.5545;0.4952;0.2;0.2;0.0952;;;;0.0
2020-11-09;2020-11-23;69;13;13;45.7724;21.9964;31.2976;17.5111;23.776;13.7864;23.776;0.2;0.2;23.376;;;;0.0
